Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:58060000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58060000;1;01/07/2019;;1;1;30,385;5,486;7,147;5;30;1;1;1;;0;6,196;6,053;6,053;6,053;30,385;11,858;7,961;7,216;6,995;6,849;6,63;6,557;6,34;6,196;6,196;6,485;6,268;6,125;6,053;5,911;5,911;5,911;5,911;5,839;5,769;5,911;5,627;5,627;5,627;5,486;5,557;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/06/2019;;1;1;9,943;6,196;7,239;4;28;1;1;1;;0;7,364;8,339;8,491;9,943;8,72;8,797;7,886;7,513;7,29;7,216;7,216;7,216;7,069;6,995;6,849;6,776;6,776;6,703;6,63;6,485;9,181;6,922;6,63;6,485;6,485;6,34;6,268;6,196;6,196;6,196;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/05/2019;;1;1;67,823;7,069;11,063;17;6;1;1;1;;0;7,438;7,364;7,216;7,216;7,216;7,069;7,364;20,706;9,603;7,961;7,662;7,662;7,736;7,513;7,438;13,538;67,823;21,54;12,109;10,173;9,258;8,797;8,491;8,339;8,112;7,961;7,886;7,736;7,811;7,811;8,415;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/04/2019;;1;1;16,783;7,438;9,267;10;28;1;1;1;;0;9,491;9,258;9,027;8,797;8,797;8,873;9,181;9,943;15,047;16,783;11,242;9,603;9,258;9,181;9,104;9,258;9,181;8,644;8,415;8,188;8,037;7,961;8,037;10,058;8,263;7,961;7,811;7,438;7,662;7,513;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/03/2019;;1;1;62,259;8,873;13,472;11;7;1;1;1;;0;11,858;12,62;10,642;10,173;9,413;9,491;8,873;11,858;12,62;9,258;62,259;18,303;13,405;11,486;12,109;12,879;12,491;12,491;10,88;12,363;12,363;18,929;12,62;10,76;10,29;9,603;9,336;10,173;15,047;12,749;10,29;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/02/2019;;1;1;24,499;5,486;9,983;13;3;1;1;1;;0;5,627;5,557;5,486;8,415;9,716;9,027;11,486;7,438;6,412;6,125;5,982;6,34;24,499;13,272;8,415;9,027;9,258;9,943;7,961;15,759;11,242;9,336;16,194;9,413;8,567;13,405;13,141;12,491;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58060000;1;01/01/2019;;1;1;36,466;4,999;8,154;5;24;1;1;1;;0;6,412;6,485;7,438;7,142;36,466;12,109;8,491;7,662;7,513;6,485;6,63;6,268;6,34;7,142;7,069;7,961;8,415;8,037;8,72;6,63;6,922;8,112;6,922;4,999;6,703;8,188;7,069;6,63;6,196;5,839;5,769;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/12/2018;;1;1;16,635;6,125;8,333;1;31;1;1;1;;0;16,635;11,733;12,749;9,943;8,72;10,524;8,797;11,12;9,104;8,188;7,662;7,513;7,29;7,216;6,995;7,069;7,069;6,776;6,485;6,485;6,995;6,557;8,112;8,339;8,415;8,95;6,922;6,485;7,069;6,268;6,125;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/11/2018;;1;1;75,822;5,277;11,765;8;3;1;1;1;;0;5,698;5,346;5,277;7,438;11,12;7,438;6,63;75,822;21,038;13,141;10,88;9,181;8,415;7,811;7,364;8,72;7,811;7,069;9,603;13,405;9,603;7,886;8,567;9,716;8,797;22,563;10,76;8,873;8,491;8,491;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/10/2018;;1;1;19,889;4,657;7,718;12;4;1;1;1;;0;13,405;5,911;4,793;4,657;5,486;5,982;8,339;5,698;6,703;6,63;6,125;19,889;8,72;14,214;10,88;8,567;6,995;6,34;6,053;10,173;7,961;6,34;5,839;7,513;8,415;7,438;6,412;6,268;5,982;5,769;5,769;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
