data;qmax
01/02/2007;351.05
01/03/2007;237.855
01/04/2007;263.668
01/05/2007;194.055
01/06/2007;215.447
01/07/2007;305.934
01/08/2007;213.262
01/09/2007;200.365
01/10/2007;324.168
01/11/2007;263.668
01/12/2007;254.141
01/01/2008;401.888
01/02/2008;387.452
01/03/2008;702.229
01/04/2008;329.466
01/05/2008;222.063
01/06/2008;231.026
01/07/2008;124.853
01/08/2008;215.447
01/09/2008;211.087
01/10/2008;293.206
01/11/2008;364.857
01/12/2008;437.515
01/01/2009;717.326
01/02/2009;687.278
01/03/2009;449.697
01/04/2009;321.534
01/05/2009;177.679
01/06/2009;196.148
01/07/2009;222.063
01/08/2009;219.847
01/09/2009;249.438
01/10/2009;499.948
01/11/2009;378.906
01/12/2009;661.467
01/01/2010;787.075
01/02/2010;600.669
01/03/2010;559.369
01/04/2010;654.176
01/05/2010;266.075
01/06/2010;204.623
01/07/2010;270.918
01/08/2010;204.623
01/09/2010;215.447
01/10/2010;240.152
01/11/2010;249.438
01/12/2010;462.032
01/01/2011;724.93
01/02/2011;419.529
01/03/2011;687.278
01/04/2011;428.479
01/05/2011;204.623
01/06/2011;202.489
01/07/2011;185.784
01/08/2011;215.447
01/09/2011;249.438
01/10/2011;313.69
01/11/2011;362.076
01/12/2011;275.801
01/01/2012;480.819
01/02/2012;285.687
01/03/2012;311.095
01/04/2012;285.687
01/05/2012;324.168
01/06/2012;351.05
01/07/2012;261.271
01/08/2012;183.743
01/09/2012;217.642
01/10/2012;263.668
01/11/2012;285.687
01/12/2012;283.201
01/01/2013;775.245
01/02/2013;586.753
01/03/2013;503.169
01/04/2013;356.543
01/05/2013;183.743
01/06/2013;231.026
01/07/2013;285.687
01/08/2013;215.447
01/09/2013;194.055
01/10/2013;240.152
01/11/2013;337.487
01/12/2013;351.05
01/01/2014;175.678
01/02/2014;303.369
01/03/2014;261.271
01/04/2014;196.148
01/05/2014;191.972
01/06/2014;202.489
01/07/2014;202.489
01/08/2014;177.679
01/09/2014;134.907
01/10/2014;196.148
01/11/2014;200.365
01/12/2014;200.365
