dia	mes	ano	vazao
1	10	2018	
30	9	2018	52.829
29	9	2018	51.3494
28	9	2018	53.3283
27	9	2018	50.8623
26	9	2018	47.5352
25	9	2018	45.247
24	9	2018	42.5964
23	9	2018	40.8862
22	9	2018	41.7357
21	9	2018	40.8862
20	9	2018	42.5964
19	9	2018	40.8862
18	9	2018	42.5964
17	9	2018	42.5964
16	9	2018	44.352
15	9	2018	42.5964
14	9	2018	42.1646
13	9	2018	44.352
12	9	2018	43.9088
11	9	2018	46.1535
10	9	2018	46.6112
9	9	2018	47.5352
8	9	2018	49.8968
7	9	2018	47.5352
6	9	2018	45.247
5	9	2018	47.5352
4	9	2018	48.9433
3	9	2018	48.9433
2	9	2018	51.8396
1	9	2018	49.8968
31	8	2018	49.4186
30	8	2018	51.8396
29	8	2018	52.3328
28	8	2018	49.8968
27	8	2018	52.829
26	8	2018	55.8701
25	8	2018	53.8306
24	8	2018	51.3494
23	8	2018	49.8968
22	8	2018	47.0717
21	8	2018	44.352
20	8	2018	44.352
19	8	2018	47.0717
18	8	2018	49.8968
17	8	2018	53.8306
16	8	2018	54.8442
15	8	2018	49.4186
14	8	2018	47.0717
13	8	2018	49.8968
12	8	2018	48.471
11	8	2018	45.247
10	8	2018	43.4684
9	8	2018	40.8862
8	8	2018	43.9088
7	8	2018	46.1535
6	8	2018	48.0017
5	8	2018	46.1535
4	8	2018	45.6988
3	8	2018	44.798
2	8	2018	51.8396
1	8	2018	52.3328
31	7	2018	52.829
30	7	2018	52.829
29	7	2018	49.8968
28	7	2018	49.4186
27	7	2018	52.829
26	7	2018	54.8442
25	7	2018	56.9083
24	7	2018	54.8442
23	7	2018	51.8396
22	7	2018	50.8623
21	7	2018	53.3283
20	7	2018	54.8442
19	7	2018	50.8623
18	7	2018	52.829
17	7	2018	52.829
16	7	2018	50.8623
15	7	2018	52.829
14	7	2018	53.3283
13	7	2018	50.8623
12	7	2018	48.9433
11	7	2018	45.247
10	7	2018	47.5352
9	7	2018	49.8968
8	7	2018	51.3494
7	7	2018	48.0017
6	7	2018	46.1535
5	7	2018	49.4186
4	7	2018	51.8396
3	7	2018	49.8968
2	7	2018	49.4186
1	7	2018	
30	6	2018	56.3877
29	6	2018	53.8306
28	6	2018	51.3494
27	6	2018	46.6112
26	6	2018	43.4684
25	6	2018	47.5352
24	6	2018	50.8623
23	6	2018	53.3283
22	6	2018	56.9083
21	6	2018	59.5581
20	6	2018	59.5581
19	6	2018	59.5581
18	6	2018	59.0219
17	6	2018	61.1854
16	6	2018	62.2861
15	6	2018	61.7342
14	6	2018	60.0974
13	6	2018	60.6398
12	6	2018	60.0974
11	6	2018	56.9083
10	6	2018	54.8442
9	6	2018	57.4321
8	6	2018	60.0974
7	6	2018	61.7342
6	6	2018	61.1854
5	6	2018	59.0219
4	6	2018	57.4321
3	6	2018	60.6398
2	6	2018	63.3994
1	6	2018	65.6645
31	5	2018	42.4302
30	5	2018	45.7911
29	5	2018	49.8476
28	5	2018	53.591
27	5	2018	57.5203
26	5	2018	60.4434
25	5	2018	62.853
24	5	2018	66.5882
23	5	2018	71.7984
22	5	2018	71.1326
21	5	2018	67.225
20	5	2018	63.4655
19	5	2018	60.4434
18	5	2018	62.853
17	5	2018	65.9555
16	5	2018	71.1326
15	5	2018	74.5041
14	5	2018	80.121
13	5	2018	83.7733
12	5	2018	81.5687
11	5	2018	78.6908
10	5	2018	73.8213
9	5	2018	83.034
8	5	2018	91.413
7	5	2018	87.5367
6	5	2018	82.2991
5	5	2018	84.517
4	5	2018	89.0736
3	5	2018	95.4039
2	5	2018	89.8488
1	5	2018	
30	4	2018	84.517
29	4	2018	90.6286
28	4	2018	93.7937
27	4	2018	95.4039
26	4	2018	90.6286
25	4	2018	87.5367
24	4	2018	81.5687
23	4	2018	84.517
22	4	2018	87.5367
21	4	2018	92.2019
20	4	2018	94.5964
19	4	2018	100.347
18	4	2018	107.203
17	4	2018	112.549
16	4	2018	100.347
15	4	2018	104.596
14	4	2018	111.645
13	4	2018	118.072
12	4	2018	77.9822
11	4	2018	108.082
10	4	2018	115.288
9	4	2018	110.747
8	4	2018	81.5687
7	4	2018	73.8213
6	4	2018	79.4037
5	4	2018	82.2991
4	4	2018	86.775
3	4	2018	91.413
2	4	2018	99.5111
1	4	2018	103.737
31	3	2018	107.684
30	3	2018	107.684
29	3	2018	113.291
28	3	2018	112.478
27	3	2018	115.75
26	3	2018	126.805
25	3	2018	111.67
24	3	2018	115.75
23	3	2018	113.291
22	3	2018	99.9892
21	3	2018	110.064
20	3	2018	109.267
19	3	2018	114.926
18	3	2018	185.512
17	3	2018	228.678
16	3	2018	294.109
15	3	2018	304.776
14	3	2018	285.16
13	3	2018	103.79
12	3	2018	103.023
11	3	2018	109.267
10	3	2018	114.107
9	3	2018	117.409
8	3	2018	112.478
7	3	2018	99.9892
6	3	2018	104.562
5	3	2018	109.267
4	3	2018	112.478
3	3	2018	
2	3	2018	
1	3	2018	
28	2	2018	
27	2	2018	229.961
26	2	2018	126.805
25	2	2018	113.291
24	2	2018	105.337
23	2	2018	109.267
22	2	2018	113.291
