iter	Passed	Remaining
757	17238	5503
758	17260	5480
759	17282	5457
760	17305	5434
761	17327	5412
762	17349	5388
763	17371	5366
764	17390	5342
765	17411	5318
766	17432	5295
767	17453	5272
768	17475	5249
769	17496	5226
770	17516	5202
771	17536	5179
772	17556	5155
773	17577	5132
774	17597	5109
775	17618	5085
776	17640	5062
777	17661	5039
778	17682	5016
779	17703	4993
780	17723	4969
781	17744	4946
782	17764	4923
783	17784	4899
784	17805	4876
785	17826	4853
786	17846	4830
787	17866	4806
788	17887	4783
789	17908	4760
790	17928	4737
791	17950	4714
792	17970	4690
793	17991	4667
794	18013	4644
795	18035	4622
796	18054	4598
797	18076	4575
798	18098	4552
799	18120	4530
800	18142	4507
801	18167	4485
802	18191	4462
803	18221	4442
804	18245	4419
805	18268	4397
806	18289	4374
807	18314	4352
808	18337	4329
809	18360	4306
810	18382	4284
811	18405	4261
812	18425	4237
813	18446	4215
814	18468	4192
815	18490	4169
816	18510	4146
817	18541	4125
818	18563	4102
819	18584	4079
820	18605	4056
821	18628	4033
822	18648	4010
823	18669	3987
824	18691	3964
825	18712	3941
826	18732	3918
827	18754	3895
828	18776	3872
829	18799	3850
830	18820	3827
831	18841	3804
832	18862	3781
833	18882	3758
834	18902	3735
835	18923	3712
836	18942	3689
837	18964	3666
838	18987	3643
839	19009	3620
840	19029	3597
841	19050	3574
842	19069	3551
843	19089	3528
844	19109	3505
845	19130	3482
846	19150	3459
847	19173	3436
848	19196	3414
849	19221	3391
850	19244	3369
851	19267	3346
852	19286	3323
853	19306	3300
854	19328	3277
855	19350	3255
856	19372	3232
857	19395	3209
858	19417	3187
859	19441	3164
860	19464	3142
861	19486	3119
862	19508	3096
863	19531	3074
864	19552	3051
865	19576	3029
866	19595	3006
867	19617	2983
868	19654	2962
869	19675	2940
870	19696	2917
871	19716	2894
872	19736	2871
873	19757	2848
874	19778	2825
875	19798	2802
876	19819	2779
877	19841	2756
878	19862	2734
879	19883	2711
880	19905	2688
881	19926	2665
882	19946	2642
883	19966	2620
884	19985	2596
885	20006	2574
886	20026	2551
887	20048	2528
888	20070	2505
889	20091	2483
890	20110	2460
891	20131	2437
892	20153	2414
893	20173	2391
894	20199	2369
895	20226	2347
896	20251	2325
897	20277	2303
898	20302	2280
899	20328	2258
900	20352	2236
901	20376	2213
902	20399	2191
903	20424	2168
904	20448	2146
905	20472	2124
906	20495	2101
907	20518	2078
908	20539	2056
909	20561	2033
910	20580	2010
911	20600	1987
912	20622	1965
913	20645	1942
914	20668	1920
915	20696	1897
916	20722	1875
917	20743	1852
918	20765	1830
919	20786	1807
920	20807	1784
921	20830	1762
922	20852	1739
923	20875	1717
924	20897	1694
925	20926	1672
926	20949	1649
927	20973	1627
928	20995	1604
929	21016	1581
930	21036	1559
931	21056	1536
932	21076	1513
933	21097	1490
934	21117	1468
935	21137	1445
936	21159	1422
937	21179	1399
938	21203	1377
939	21227	1354
940	21251	1332
941	21274	1309
942	21305	1287
943	21327	1265
944	21350	1242
945	21374	1220
946	21395	1197
947	21417	1174
948	21438	1152
949	21469	1129
950	21497	1107
951	21519	1085
952	21541	1062
953	21563	1039
954	21586	1017
955	21609	994
956	21632	971
957	21655	949
958	21677	926
959	21699	904
960	21722	881
961	21744	858
962	21766	836
963	21790	813
964	21812	791
965	21836	768
966	21858	745
967	21880	723
968	21902	700
969	21923	678
970	21945	655
971	21967	632
972	21990	610
973	22016	587
974	22038	565
975	22058	542
976	22077	519
977	22098	497
978	22119	474
979	22140	451
980	22160	429
981	22183	406
982	22209	384
983	22233	361
984	22256	338
985	22278	316
986	22302	293
987	22323	271
988	22346	248
989	22370	225
990	22393	203
991	22419	180
992	22440	158
993	22464	135
994	22485	112
995	22508	90
996	22529	67
997	22551	45
998	22571	22
999	22591	0
