dia	mes	ano	vazao
24	10	2020	898.51
23	10	2020	832.768
22	10	2020	829.448
21	10	2020	829.448
20	10	2020	798.156
19	10	2020	777.009
18	10	2020	760.888
17	10	2020	760.888
16	10	2020	767.321
15	10	2020	752.876
14	10	2020	713.298
13	10	2020	719.576
12	10	2020	738.535
11	10	2020	738.535
10	10	2020	738.535
9	10	2020	733.778
8	10	2020	729.032
7	10	2020	707.041
6	10	2020	673.0
5	10	2020	714.866
4	10	2020	732.195
3	10	2020	741.713
2	10	2020	748.084
1	10	2020	746.489
30	9	2020	741.713
29	9	2020	743.304
28	9	2020	741.713
27	9	2020	741.713
26	9	2020	744.896
25	9	2020	741.713
24	9	2020	741.713
23	9	2020	741.713
22	9	2020	749.68
21	9	2020	730.613
20	9	2020	738.535
19	9	2020	736.948
18	9	2020	743.304
17	9	2020	748.084
16	9	2020	749.68
15	9	2020	744.896
14	9	2020	736.948
13	9	2020	699.249
12	9	2020	674.534
11	9	2020	636.594
10	9	2020	630.601
9	9	2020	621.652
8	9	2020	633.595
7	9	2020	636.594
6	9	2020	636.594
5	9	2020	645.624
4	9	2020	645.624
3	9	2020	645.624
2	9	2020	645.624
1	9	2020	648.644
31	8	2020	651.67
30	8	2020	651.67
29	8	2020	651.67
28	8	2020	645.624
27	8	2020	639.599
26	8	2020	642.608
25	8	2020	642.608
24	8	2020	642.608
23	8	2020	648.644
22	8	2020	651.67
21	8	2020	653.185
20	8	2020	645.624
19	8	2020	645.624
18	8	2020	645.624
17	8	2020	648.644
16	8	2020	651.67
15	8	2020	648.644
14	8	2020	651.67
13	8	2020	651.67
12	8	2020	654.701
11	8	2020	654.701
10	8	2020	657.738
9	8	2020	660.78
8	8	2020	660.78
7	8	2020	663.827
6	8	2020	663.827
5	8	2020	663.827
4	8	2020	657.738
3	8	2020	660.78
2	8	2020	676.068
1	8	2020	676.068
31	7	2020	676.068
30	7	2020	674.534
29	7	2020	676.068
28	7	2020	674.534
27	7	2020	676.068
26	7	2020	674.534
25	7	2020	677.605
24	7	2020	676.068
23	7	2020	676.068
22	7	2020	677.605
21	7	2020	677.605
20	7	2020	679.142
19	7	2020	679.142
18	7	2020	685.305
17	7	2020	683.762
16	7	2020	682.221
15	7	2020	682.221
14	7	2020	686.849
13	7	2020	691.489
12	7	2020	694.589
11	7	2020	693.038
10	7	2020	686.849
9	7	2020	696.141
8	7	2020	696.141
7	7	2020	691.489
6	7	2020	694.589
5	7	2020	694.589
4	7	2020	674.534
3	7	2020	608.318
2	7	2020	606.844
1	7	2020	609.794
30	6	2020	606.844
29	6	2020	614.231
28	6	2020	614.231
27	6	2020	617.195
26	6	2020	617.195
25	6	2020	620.165
24	6	2020	621.652
23	6	2020	629.106
22	6	2020	623.14
21	6	2020	618.679
20	6	2020	624.629
19	6	2020	624.629
18	6	2020	626.12
17	6	2020	568.979
16	6	2020	544.723
15	6	2020	546.139
14	6	2020	544.723
13	6	2020	592.171
12	6	2020	644.115
11	6	2020	642.608
10	6	2020	606.844
9	6	2020	563.236
8	6	2020	600.958
7	6	2020	653.185
6	6	2020	656.219
5	6	2020	651.67
4	6	2020	638.096
3	6	2020	614.231
2	6	2020	592.171
1	6	2020	636.594
31	5	2020	685.305
30	5	2020	682.221
29	5	2020	693.038
28	5	2020	699.249
27	5	2020	665.352
26	5	2020	609.794
25	5	2020	641.103
24	5	2020	683.762
23	5	2020	705.48
22	5	2020	736.948
21	5	2020	773.774
20	5	2020	780.248
19	5	2020	716.435
18	5	2020	707.041
17	5	2020	713.298
16	5	2020	733.778
15	5	2020	705.48
14	5	2020	705.48
13	5	2020	752.876
12	5	2020	756.077
11	5	2020	768.932
10	5	2020	834.43
9	5	2020	895.093
8	5	2020	786.742
7	5	2020	727.453
6	5	2020	778.628
5	5	2020	786.742
4	5	2020	801.428
3	5	2020	831.107
2	5	2020	842.759
1	5	2020	842.759
30	4	2020	844.428
29	4	2020	861.192
28	4	2020	862.876
27	4	2020	896.801
26	4	2020	1015.802
25	4	2020	1134.717
24	4	2020	1060.949
23	4	2020	962.611
22	4	2020	976.689
21	4	2020	994.396
20	4	2020	1003.294
19	4	2020	999.731
18	4	2020	983.757
17	4	2020	974.925
16	4	2020	994.396
15	4	2020	1088.392
14	4	2020	1244.977
13	4	2020	1415.478
12	4	2020	1649.588
11	4	2020	1951.271
10	4	2020	1941.94
9	4	2020	1319.294
8	4	2020	1093.913
7	4	2020	1101.29
6	4	2020	1075.552
5	4	2020	1071.895
