dia	mes	ano	chuva
28	10	2020	0.2
27	10	2020	1.4
26	10	2020	10.5
25	10	2020	9.3
24	10	2020	0.0
23	10	2020	1.5
22	10	2020	13.8
21	10	2020	1.3
20	10	2020	7.5
19	10	2020	0.0
18	10	2020	0.0
17	10	2020	0.0
16	10	2020	0.0
15	10	2020	0.0
14	10	2020	0.0
13	10	2020	1.7
12	10	2020	0.0
11	10	2020	0.0
10	10	2020	0.0
9	10	2020	0.0
8	10	2020	0.0
7	10	2020	0.0
6	10	2020	0.0
5	10	2020	0.0
4	10	2020	0.0
3	10	2020	0.0
2	10	2020	0.0
1	10	2020	0.0
30	9	2020	0.0
29	9	2020	0.0
28	9	2020	0.0
27	9	2020	0.0
26	9	2020	0.0
25	9	2020	0.0
24	9	2020	0.0
23	9	2020	0.4
22	9	2020	0.0
21	9	2020	0.0
20	9	2020	0.0
19	9	2020	0.0
18	9	2020	0.0
17	9	2020	0.0
16	9	2020	0.0
15	9	2020	0.0
14	9	2020	0.0
13	9	2020	0.0
12	9	2020	0.0
11	9	2020	0.0
10	9	2020	0.0
9	9	2020	0.0
8	9	2020	0.0
7	9	2020	0.0
6	9	2020	0.0
5	9	2020	0.0
4	9	2020	0.0
3	9	2020	0.0
2	9	2020	0.0
1	9	2020	0.0
31	8	2020	0.0
30	8	2020	0.0
29	8	2020	0.0
28	8	2020	0.0
27	8	2020	0.0
26	8	2020	0.0
25	8	2020	0.0
24	8	2020	0.0
23	8	2020	0.0
22	8	2020	0.0
21	8	2020	0.0
20	8	2020	0.0
19	8	2020	0.0
18	8	2020	0.0
17	8	2020	0.0
16	8	2020	0.0
15	8	2020	0.0
14	8	2020	0.0
13	8	2020	0.0
12	8	2020	0.0
11	8	2020	0.0
10	8	2020	0.0
9	8	2020	0.0
8	8	2020	0.0
7	8	2020	0.0
6	8	2020	0.0
5	8	2020	0.0
4	8	2020	0.0
3	8	2020	0.0
2	8	2020	0.0
1	8	2020	0.0
31	7	2020	0.0
30	7	2020	0.0
29	7	2020	0.0
28	7	2020	0.0
27	7	2020	0.0
26	7	2020	0.0
25	7	2020	0.0
24	7	2020	0.0
23	7	2020	0.0
22	7	2020	0.0
21	7	2020	0.0
20	7	2020	0.0
19	7	2020	0.0
18	7	2020	0.0
17	7	2020	0.0
16	7	2020	0.0
15	7	2020	0.0
14	7	2020	0.0
13	7	2020	0.0
12	7	2020	0.0
11	7	2020	0.0
10	7	2020	0.0
9	7	2020	0.0
8	7	2020	0.0
7	7	2020	0.0
6	7	2020	0.0
5	7	2020	0.0
4	7	2020	0.0
3	7	2020	0.0
2	7	2020	0.0
1	7	2020	0.0
31	5	2020	0.0
30	5	2020	0.0
29	5	2020	0.0
28	5	2020	0.0
27	5	2020	0.0
26	5	2020	3.6
25	5	2020	6.0
24	5	2020	0.0
23	5	2020	0.0
22	5	2020	0.0
21	5	2020	0.0
20	5	2020	0.0
19	5	2020	0.0
18	5	2020	0.0
17	5	2020	0.0
16	5	2020	0.2
15	5	2020	0.0
14	5	2020	0.0
13	5	2020	0.0
12	5	2020	0.0
11	5	2020	0.0
10	5	2020	0.0
9	5	2020	0.0
8	5	2020	0.0
7	5	2020	0.0
6	5	2020	0.0
5	5	2020	0.0
4	5	2020	0.0
3	5	2020	0.0
2	5	2020	0.0
1	5	2020	0.0
31	3	2020	0.0
30	3	2020	0.0
29	3	2020	0.0
28	3	2020	0.2
27	3	2020	2.6
26	3	2020	3.6
25	3	2020	7.7
24	3	2020	2.4
23	3	2020	5.8
22	3	2020	5.6
21	3	2020	0.0
20	3	2020	0.0
19	3	2020	0.0
18	3	2020	0.0
17	3	2020	0.0
16	3	2020	0.0
15	3	2020	0.0
14	3	2020	0.4
13	3	2020	0.0
12	3	2020	1.2
11	3	2020	0.0
10	3	2020	0.0
9	3	2020	0.0
8	3	2020	6.6
7	3	2020	23.6
6	3	2020	12.1
5	3	2020	9.3
4	3	2020	0.0
3	3	2020	29.7
2	3	2020	27.7
1	3	2020	29.6
29	2	2020	2.6
28	2	2020	1.0
27	2	2020	0.0
26	2	2020	0.0
25	2	2020	20.7
24	2	2020	1.0
23	2	2020	0.0
22	2	2020	0.0
21	2	2020	0.0
20	2	2020	0.0
19	2	2020	6.7
18	2	2020	0.0
17	2	2020	0.0
16	2	2020	0.2
15	2	2020	0.0
14	2	2020	0.0
13	2	2020	0.8
12	2	2020	0.0
11	2	2020	8.6
10	2	2020	6.7
9	2	2020	6.4
8	2	2020	6.8
7	2	2020	1.2
6	2	2020	1.5
5	2	2020	0.0
4	2	2020	0.0
3	2	2020	0.0
2	2	2020	0.0
1	2	2020	0.0
31	1	2020	6.0
30	1	2020	0.0
29	1	2020	0.8
28	1	2020	15.4
27	1	2020	10.4
26	1	2020	5.7
25	1	2020	4.0
24	1	2020	71.8
23	1	2020	11.4
22	1	2020	6.8
21	1	2020	11.6
20	1	2020	0.0
19	1	2020	4.6
18	1	2020	11.6
17	1	2020	0.0
16	1	2020	0.0
15	1	2020	0.0
14	1	2020	0.0
13	1	2020	0.0
12	1	2020	0.0
11	1	2020	0.0
10	1	2020	38.2
9	1	2020	0.0
8	1	2020	0.0
7	1	2020	4.4
6	1	2020	4.1
5	1	2020	30.6
4	1	2020	46.0
3	1	2020	48.8
2	1	2020	37.7
1	1	2020	0.0
31	12	2019	0.0
30	12	2019	0.0
29	12	2019	0.0
28	12	2019	0.0
27	12	2019	9.8
26	12	2019	0.0
25	12	2019	0.4
24	12	2019	2.8
23	12	2019	4.4
22	12	2019	0.0
21	12	2019	0.0
20	12	2019	0.0
19	12	2019	0.4
18	12	2019	0.2
17	12	2019	0.0
16	12	2019	0.0
15	12	2019	0.0
14	12	2019	0.0
13	12	2019	0.0
12	12	2019	0.0
11	12	2019	0.0
10	12	2019	0.0
9	12	2019	1.8
8	12	2019	6.0
7	12	2019	1.8
6	12	2019	9.8
5	12	2019	7.4
4	12	2019	11.4
3	12	2019	30.8
2	12	2019	2.4
1	12	2019	2.9
30	11	2019	4.2
29	11	2019	0.0
28	11	2019	0.4
27	11	2019	0.0
26	11	2019	0.0
25	11	2019	24.6
24	11	2019	0.0
23	11	2019	0.0
22	11	2019	0.0
21	11	2019	0.6
20	11	2019	7.9
19	11	2019	0.5
18	11	2019	20.0
17	11	2019	0.0
16	11	2019	13.9
15	11	2019	0.0
14	11	2019	3.0
13	11	2019	0.0
12	11	2019	0.0
11	11	2019	0.0
10	11	2019	0.0
9	11	2019	0.0
8	11	2019	0.8
7	11	2019	0.0
6	11	2019	0.2
5	11	2019	0.0
4	11	2019	0.0
3	11	2019	0.0
2	11	2019	23.1
1	11	2019	0.0
31	10	2019	0.0
30	10	2019	0.0
29	10	2019	0.0
28	10	2019	0.0
27	10	2019	3.2
26	10	2019	2.8
25	10	2019	0.0
24	10	2019	2.8
23	10	2019	1.4
22	10	2019	1.2
21	10	2019	0.0
20	10	2019	0.0
19	10	2019	0.0
18	10	2019	0.0
17	10	2019	0.0
16	10	2019	0.0
15	10	2019	0.0
14	10	2019	0.0
13	10	2019	0.0
12	10	2019	1.0
11	10	2019	0.0
10	10	2019	0.0
9	10	2019	0.0
8	10	2019	0.0
7	10	2019	0.0
6	10	2019	0.0
5	10	2019	0.0
4	10	2019	0.0
3	10	2019	0.0
2	10	2019	0.0
1	10	2019	0.0
30	9	2019	1.6
29	9	2019	4.3
28	9	2019	0.2
27	9	2019	0.8
26	9	2019	0.0
25	9	2019	0.0
24	9	2019	0.0
23	9	2019	0.0
22	9	2019	0.0
21	9	2019	0.0
20	9	2019	0.0
19	9	2019	0.0
18	9	2019	0.0
17	9	2019	0.0
16	9	2019	0.0
15	9	2019	0.0
14	9	2019	0.0
13	9	2019	0.0
12	9	2019	0.0
11	9	2019	0.0
10	9	2019	0.0
9	9	2019	0.0
8	9	2019	0.0
7	9	2019	0.0
6	9	2019	0.0
5	9	2019	0.0
4	9	2019	0.0
3	9	2019	0.0
2	9	2019	0.0
1	9	2019	0.0
31	8	2019	0.0
30	8	2019	0.0
29	8	2019	0.0
28	8	2019	0.0
27	8	2019	0.0
26	8	2019	0.0
25	8	2019	0.0
24	8	2019	0.0
23	8	2019	0.0
22	8	2019	0.0
21	8	2019	0.0
20	8	2019	0.0
19	8	2019	0.0
18	8	2019	0.0
17	8	2019	0.0
16	8	2019	0.0
15	8	2019	0.0
14	8	2019	0.0
13	8	2019	0.0
12	8	2019	0.0
11	8	2019	0.0
10	8	2019	0.0
9	8	2019	0.0
8	8	2019	0.0
7	8	2019	0.0
6	8	2019	0.0
5	8	2019	0.0
4	8	2019	0.0
3	8	2019	0.0
2	8	2019	0.0
1	8	2019	0.0
