dia	mes	ano	cota
16	12	2019	132.0
15	12	2019	134.0
14	12	2019	136.0
13	12	2019	139.0
12	12	2019	144.0
11	12	2019	151.0
10	12	2019	156.0
9	12	2019	171.0
8	12	2019	188.0
7	12	2019	184.0
6	12	2019	182.0
5	12	2019	188.0
4	12	2019	196.0
3	12	2019	199.0
2	12	2019	186.0
1	12	2019	152.0
30	11	2019	142.0
29	11	2019	123.0
28	11	2019	118.0
27	11	2019	118.0
26	11	2019	119.0
25	11	2019	119.0
24	11	2019	122.0
23	11	2019	131.0
22	11	2019	137.0
21	11	2019	107.0
20	11	2019	89.0
19	11	2019	78.0
18	11	2019	78.0
17	11	2019	79.0
16	11	2019	79.0
15	11	2019	80.0
14	11	2019	82.0
13	11	2019	85.0
12	11	2019	89.0
11	11	2019	95.0
10	11	2019	101.0
9	11	2019	107.0
8	11	2019	111.0
7	11	2019	115.0
6	11	2019	119.0
5	11	2019	122.0
4	11	2019	130.0
3	11	2019	110.0
2	11	2019	137.0
1	11	2019	104.0
31	10	2019	105.0
30	10	2019	107.0
29	10	2019	109.0
28	10	2019	113.0
27	10	2019	117.0
26	10	2019	126.0
25	10	2019	131.0
24	10	2019	93.0
23	10	2019	80.0
22	10	2019	79.0
21	10	2019	79.0
20	10	2019	79.0
19	10	2019	80.0
18	10	2019	80.0
17	10	2019	80.0
16	10	2019	80.0
15	10	2019	80.0
14	10	2019	81.0
13	10	2019	81.0
12	10	2019	81.0
11	10	2019	83.0
10	10	2019	85.0
9	10	2019	87.0
8	10	2019	83.0
7	10	2019	80.0
6	10	2019	80.0
5	10	2019	80.0
4	10	2019	80.0
3	10	2019	80.0
2	10	2019	80.0
1	10	2019	80.0
30	9	2019	80.0
29	9	2019	81.0
28	9	2019	83.0
27	9	2019	84.0
26	9	2019	79.0
16	7	2019	101.0
15	7	2019	101.0
14	7	2019	101.0
13	7	2019	101.0
12	7	2019	101.0
11	7	2019	102.0
10	7	2019	102.0
9	7	2019	102.0
8	7	2019	102.0
7	7	2019	102.0
6	7	2019	103.0
5	7	2019	103.0
4	7	2019	103.0
3	7	2019	103.0
2	7	2019	103.0
1	7	2019	103.0
30	6	2019	103.0
29	6	2019	103.0
28	6	2019	103.0
27	6	2019	104.0
26	6	2019	104.0
25	6	2019	104.0
24	6	2019	104.0
23	6	2019	104.0
22	6	2019	104.0
21	6	2019	104.0
20	6	2019	105.0
19	6	2019	105.0
18	6	2019	105.0
17	6	2019	105.0
16	6	2019	105.0
15	6	2019	105.0
14	6	2019	105.0
13	6	2019	106.0
12	6	2019	106.0
11	6	2019	106.0
10	6	2019	106.0
9	6	2019	107.0
8	6	2019	107.0
7	6	2019	107.0
6	6	2019	108.0
5	6	2019	109.0
4	6	2019	110.0
3	6	2019	110.0
2	6	2019	111.0
1	6	2019	113.0
31	5	2019	114.0
30	5	2019	115.0
29	5	2019	116.0
28	5	2019	117.0
27	5	2019	118.0
26	5	2019	119.0
25	5	2019	120.0
24	5	2019	121.0
23	5	2019	122.0
22	5	2019	124.0
21	5	2019	126.0
20	5	2019	128.0
19	5	2019	131.0
18	5	2019	125.0
17	5	2019	120.0
16	5	2019	121.0
15	5	2019	116.0
14	5	2019	116.0
13	5	2019	116.0
12	5	2019	116.0
11	5	2019	116.0
10	5	2019	116.0
9	5	2019	116.0
8	5	2019	116.0
7	5	2019	116.0
6	5	2019	116.0
5	5	2019	116.0
4	5	2019	116.0
3	5	2019	116.0
2	5	2019	116.0
1	5	2019	116.0
30	4	2019	116.0
29	4	2019	116.0
28	4	2019	117.0
27	4	2019	118.0
26	4	2019	120.0
25	4	2019	120.0
24	4	2019	116.0
3	1	2019	305.0
2	1	2019	321.0
1	1	2019	306.0
31	12	2018	268.0
30	12	2018	220.0
29	12	2018	196.0
28	12	2018	168.0
27	12	2018	151.0
26	12	2018	119.0
25	12	2018	110.0
24	12	2018	111.0
23	12	2018	112.0
22	12	2018	113.0
21	12	2018	114.0
20	12	2018	115.0
19	12	2018	117.0
18	12	2018	119.0
17	12	2018	122.0
16	12	2018	126.0
15	12	2018	131.0
14	12	2018	133.0
13	12	2018	135.0
12	12	2018	137.0
11	12	2018	139.0
10	12	2018	142.0
9	12	2018	149.0
8	12	2018	198.0
7	12	2018	137.0
6	12	2018	138.0
5	12	2018	154.0
4	12	2018	193.0
3	12	2018	139.0
2	12	2018	116.0
1	12	2018	115.0
30	11	2018	116.0
29	11	2018	118.0
28	11	2018	122.0
27	11	2018	119.0
26	11	2018	114.0
25	11	2018	112.0
24	11	2018	113.0
23	11	2018	113.0
22	11	2018	113.0
21	11	2018	113.0
20	11	2018	114.0
19	11	2018	115.0
18	11	2018	117.0
17	11	2018	119.0
16	11	2018	121.0
15	11	2018	126.0
14	11	2018	130.0
13	11	2018	136.0
12	11	2018	147.0
11	11	2018	141.0
10	11	2018	137.0
9	11	2018	132.0
8	11	2018	130.0
7	11	2018	127.0
6	11	2018	123.0
5	11	2018	116.0
4	11	2018	115.0
3	11	2018	115.0
2	11	2018	116.0
1	11	2018	118.0
31	10	2018	124.0
30	10	2018	129.0
29	10	2018	131.0
28	10	2018	130.0
27	10	2018	120.0
26	10	2018	109.0
25	10	2018	105.0
24	10	2018	104.0
23	10	2018	104.0
22	10	2018	106.0
21	10	2018	108.0
20	10	2018	104.0
19	10	2018	97.0
18	10	2018	97.0
17	10	2018	97.0
16	10	2018	98.0
15	10	2018	98.0
14	10	2018	99.0
13	10	2018	99.0
12	10	2018	99.0
11	10	2018	100.0
10	10	2018	100.0
9	10	2018	100.0
8	10	2018	100.0
7	10	2018	100.0
6	10	2018	101.0
5	10	2018	101.0
4	10	2018	101.0
3	10	2018	101.0
2	10	2018	101.0
1	10	2018	101.0
30	9	2018	101.0
29	9	2018	102.0
