ds	y	chuva1	chuva2	chuva3	chuva4	vazao1	chuva5	vazao2	chuva6	vazao3	chuva7	vazao4	vazao5	vazao6	vazao7	vazao8
2020-10-16	185.941	14.0	5.4	0.3	2.0		0.0	123.2875	6.2	170.36354166666666	21.2	16.316666666666666	144.809			185.928
2020-10-15	177.352	0.0	0.0	0.0	0.0		0.0	101.01458333333332	0.0	127.65104166666669	0.0	17.145833333333332	118.757			135.528
2020-10-14	163.378	0.0	0.0	0.0	0.0		0.0	88.26875	0.0	126.82150537634408	0.0	16.7	97.423			128.265
2020-10-13	149.315	0.0	0.0	0.0	0.0		0.0	98.38333333333333	0.0	135.46562500000002	0.0	17.09565217391304	110.552			135.528
2020-10-12	141.855	0.0	0.0	0.0	0.0		0.0	95.85416666666669	0.0	127.6625	0.0	16.412499999999998	110.552			135.528
2020-10-11	129.262	0.0	0.0	0.0	0.0		0.0	92.23125	0.0	130.025	0.0	17.445833333333333	105.218			128.265
2020-10-10	121.007	0.0	0.0	0.0	0.0		0.0	91.73541666666668	0.0	121.04479166666664	0.0	15.516666666666666	105.218			124.684
2020-10-09	119.984	2.5	0.3	0.0	0.0		0.75	85.24166666666666	0.4	111.73645833333336	0.0	17.529166666666665	94.88			128.265
2020-10-08	116.924	0.0	0.0	0.0	0.0		0.0	94.84583333333336	0.0	143.16145833333334	0.2	15.954166666666667	102.592			177.827
2020-10-07	114.894	0.0	0.0	0.0	0.0		0.0	113.12916666666666	0.0	166.95208333333335	0.0	18.316666666666663	130.072			181.862
2020-10-06	111.863	0.0	0.0	0.0	0.0		0.0	125.59166666666664	0.0	180.56041666666667	0.0	16.254166666666666	147.835			190.025
2020-10-05	109.851	0.0	0.0	0.0	0.0		0.0	118.44791666666669	0.0	163.35520833333334	0.0	18.9625	141.809			185.928
2020-10-04	102.874	0.0	0.0	0.0	0.0		0.0	115.49166666666667	0.0	166.6875	0.0	16.4025	132.967			173.822
2020-10-03	104.857	0.0	0.0	0.0	0.0		0.0	115.66041666666666	0.0	153.74166666666667	0.0	19.05666666666667	135.888			181.862
2020-10-02	106.849	0.0	0.0	0.0	0.0		0.0	132.09166666666667	0.0	191.99479166666663	0.0	16.679166666666667	153.964			194.151
2020-10-01	111.863	0.0	0.0	0.0	0.0		0.0	120.85	0.0	179.84166666666667	0.0	19.35	138.836			206.71
2020-09-30	125.12	0.0	0.0	0.0	0.0		0.0	136.26041666666666	0.0	205.10416666666663	0.0	17.0125	163.349			206.71
2020-09-29	116.924	0.0	0.0	0.0	0.0		0.0	166.99583333333334	0.0	217.33020833333333	0.0	18.479166666666668	203.156			241.483
2020-09-28	107.848	0.0	0.0	0.0	0.0		0.0	127.88333333333333	0.0	192.31145833333332	0.0	19.23333333333333	153.964			237.037
2020-09-27	95.021	0.0	0.0	0.0	0.0		0.0	132.56041666666667	0.0	192.33333333333331	0.0	17.529166666666665	160.195			228.229
2020-09-26	108.849	0.0	0.0	0.0	0.0		0.0	141.78541666666666	0.0	184.075	0.0	19.341666666666665	172.963			215.231
2020-09-25	117.942	0.6	0.0	0.0	0.0		0.0	114.53125	0.0	163.640625	0.0	17.783333333333335	132.967			215.231
2020-09-24	121.007	0.0	1.0	0.0	0.0		0.0	122.03125	0.8	166.29166666666666	0.0	19.49782608695652	141.809			219.535
2020-09-23	107.848	0.0	0.0	0.0	0.0		0.0	119.01458333333332	0.0	175.57500000000002	0.0	18.669166666666666	135.888			167.874
2020-09-22	102.874	0.0	0.0	0.0	0.0		0.0	135.6291666666667	0.0	189.91458333333333	0.0	19.61833333333333	163.349			181.862
2020-09-21	98.931	0.0	0.0	0.0	0.0		0.0	136.25208333333333	0.0	189.189010989011	0.0	18.42083333333333	163.349			185.928
2020-09-20	89.221	0.0	0.0	0.0	0.0		0.0	134.8625	0.0	183.85729166666667	0.0	19.429166666666667	163.349			185.928
2020-09-19	88.262	0.0	0.0	0.0	0.0		0.0	129.16041666666666	0.0	177.30000000000004	0.0	18.77142857142857	153.964			177.827
2020-09-18	97.951	0.0	0.0	0.0	0.0		0.0	130.64791666666667	0.0	181.06770833333331	0.0	19.95	157.066			181.862
2020-09-17	112.871	0.0	0.0	0.0	0.0		0.0	169.49166666666667	0.0	199.08645833333333	0.0	18.429166666666667	166.529			185.928
2020-09-16	124.089	0.0	0.0	0.0	0.0		0.0	172.18125	0.0	176.2229166666667	0.0	19.75	169.733			177.827
2020-09-15	108.849	0.0	0.0	0.0	0.0		0.0	166.27916666666667	0.0	180.61875	0.0	19.629166666666663	153.964			181.862
2020-09-14	96.972	0.0	0.0	0.0	0.0		0.0	172.52916666666667	0.0	189.9958333333333	0.0	18.3	163.349			190.025
2020-09-13	108.849	0.0	0.0	0.0	0.0		0.0	178.30416666666667	0.0	191.79375	0.0	20.054166666666667	169.733			192.084
2020-09-12	117.942	0.0	0.0	0.0	0.0		0.0	178.36458333333334	0.0	192.7125	0.0	19.97083333333333	169.733			187.973
2020-09-11	123.06	0.0	0.0	0.0	0.0		0.0	185.64166666666665	0.0	208.54375	0.0	19.692916666666665	176.218			194.151
2020-09-10	123.06	0.0	0.0	0.0	0.0		0.0	175.37708333333333	0.0	171.34375	0.0	19.620833333333334	172.963			179.84
2020-09-09	135.528	0.0	0.0	0.0	0.0		0.0	151.20625	0.0	158.1	0.0	18.829166666666666	141.809			160.053
2020-09-08	139.739	0.0	0.0	0.0	0.0		0.0	147.78958333333335	0.0	152.63958333333332	0.0	20.4	138.836			161.996
2020-09-07	138.684	0.0	0.0	0.0	0.0		0.0	161.75625	0.0	177.02916666666667	0.0	20.525	147.835			179.84
2020-09-06	161.197	0.0	0.0	0.0	0.0		0.0	164.68541666666667	0.0	184.284375	0.0	20.626666666666665	153.964			173.822
2020-09-05	161.197	0.0	0.0	0.0	0.0		0.0	189.4333333333333	0.0	207.1375	0.0	21.2	186.134			204.599
2020-09-04	155.772	0.0	0.0	0.0	0.0		0.0	231.4020833333333	0.0	257.03541666666666	0.0	21.125833333333336	224.389			268.743
2020-09-03	156.854	0.0	0.0	0.0	0.0		0.0	193.65416666666667	0.0	210.69375	0.0	21.183333333333334	189.489			200.397
2020-09-02	162.287	0.0	0.0	0.0	0.0		0.0	201.55625	0.0	228.41666666666663	0.0	21.57166666666667	189.489			226.044
2020-09-01	174.523	0.0	0.0	0.0	0.0		0.0	213.12708333333333	0.0	233.63541666666663	0.0	22.64583333333333	210.136			243.717
2020-08-31	111.863	0.0	0.0	0.0	0.0		0.0	208.5145833333333	0.0	232.7177083333333	0.0	22.96666666666667	203.156			243.717
2020-08-30	107.848	0.0	0.0	0.0	0.0		0.0	226.61458333333331	0.0	252.0	0.0	23.518181818181816	220.789			254.989
2020-08-29	106.849	0.0	0.0	0.0	0.0		0.0	222.31041666666667	0.0	249.9885416666667	0.4	21.70833333333333	220.789			259.547
2020-08-28	121.007	0.0	0.0	0.0	0.0		0.0	252.4	0.0	276.0552083333333	0.0	20.441666666666663	250.254			294.588
2020-08-27	122.033	0.0	0.0	0.0	0.0		0.0	234.76875	0.0	262.1666666666667	0.0	20.043478260869566	231.66			257.264
2020-08-26	112.871	0.0	0.0	0.0	0.0		0.0	224.2770833333333	0.0	252.8044117647059	0.0	19.83333333333333	224.389			250.46
2020-08-25	113.881	0.0	0.0	0.0	0.0		0.0	239.9958333333333	0.0	262.76666666666665	0.0	19.775	235.331			266.434
2020-08-24	103.865	0.0	0.0	2.7	0.0		0.0	214.36458333333331	0.0	217.20520833333333	0.6	21.433333333333334	217.214			213.09
2020-08-23	103.865	3.5	10.0	0.2	2.0		0.75	204.3395833333333	3.2	235.20416666666665	2.6	22.8	192.869			232.618
2020-08-22	100.898	1.1	2.8	0.0	5.0		4.0	199.39791666666667	10.8	206.78125	3.8	22.672727272727272	199.702			213.09
2020-08-21	97.951	0.0	0.0	0.0	0.0		0.0	175.42916666666667	0.0	202.703125	0.0	22.875	166.529			192.084
2020-08-20	89.221	0.0	0.0	0.0	0.0		0.0	195.45833333333331	0.0	211.625	0.0	23.466666666666665	189.489			213.09
2020-08-19	84.447	0.0	0.0	0.0	0.0		0.0	188.41666666666663	0.0	191.0625	0.0	24.183333333333334	182.804			200.397
2020-08-18	86.35	0.0	0.0	0.0	0.0		0.0	171.69583333333333	0.0	191.08645833333333	0.0	24.71666666666667	160.195			196.226
2020-08-17	93.079	0.0	0.0	0.0	0.0		0.0	182.74255319148932	0.0	202.73333333333332	0.0	25.115454545454543	176.218			204.599
2020-08-16	98.931	0.0	0.0	0.0	0.0		0.0	217.6916666666667	0.0	246.3791666666667	0.0	26.066666666666663	210.136			248.205
2020-08-15	102.874	0.0	0.0	0.0	0.0		0.0	216.42083333333332	0.0	240.47708333333333	0.0	26.75	213.663			248.205
2020-08-14	105.852	0.0	0.0	0.0	0.0		0.0	239.75	0.0	281.43958333333336	0.0	26.558333333333334	231.66			273.382
2020-08-13	114.894	0.0	0.0	0.0	0.0		0.0	233.57708333333332	0.0	251.6875	0.0	26.21666666666667	239.026			264.131
2020-08-12	116.924	4.0	3.6	4.2	1.0		2.0	221.0	1.0	250.5	1.4	26.066666666666663	217.214			250.46
2020-08-11	112.871	0.0	0.0	1.8	2.0		2.25	224.73333333333332	3.0	256.578125	3.0	25.813043478260877	220.789			250.46
2020-08-10	116.924	0.0	0.0	0.0	0.0		0.0	233.73125	0.0	265.225	0.0	26.3375	231.66			252.721
2020-08-09	125.12	0.0	0.9	0.0	0.0		0.0	229.15625	0.0	259.05625000000003	0.0	27.308333333333334	228.012			250.46
2020-08-08	132.387	1.5	0.9	1.6	1.0		1.25	219.63333333333333	1.8	257.76354166666664	0.8	27.74	213.663			241.483
2020-08-07	137.63	0.0	0.0	0.0	0.0		0.0	235.775	0.0	268.903125	0.0	28.09583333333333	235.331			259.547
2020-08-06	142.916	0.8	0.0	0.0	0.0		0.0	221.46666666666667	0.0	255.12708333333333	0.0	28.08333333333333	220.789			252.721
2020-08-05	150.387	0.0	0.0	0.0	0.0		0.0	229.41666666666663	0.2	264.1	0.4	27.71666666666667	228.012			259.547
2020-08-04	150.387	0.0	0.0	0.0	0.0		0.0	228.2	0.0	264.1	0.0	27.804166666666664	228.012			259.547
2020-08-03	154.692	0.0	0.0	0.0	0.0		0.0	229.28958333333333	0.0	267.27708333333334	0.0	27.59166666666667	228.012			268.743
2020-08-02	163.378	2.0	0.0	0.0	0.0		0.0	232.2	0.0	270.8541666666667	0.0	27.425	231.66			282.741
2020-08-01	173.115	0.0	2.8	0.0	0.0		0.0	248.76041666666663	0.2	288.05104166666666	0.2	27.600000000000005	242.745			287.46
2020-07-31	183.061	0.0	1.8	0.0	1.0		1.25	222.27083333333331	4.6	262.16562500000003	7.6	26.73304347826087	228.012			259.547
2020-07-30	187.387	0.0	0.0	0.0	0.0		0.0	239.14375	0.0	272.8229166666667	0.0	26.90416666666667	239.026			289.829
2020-07-29	194.682	0.0	0.0	1.8	0.0		0.0	236.45625	0.0	281.153125	0.0	27.179166666666664	231.66			275.712
2020-07-28	205.068	0.0	0.6	0.0	0.0		0.0	228.07291666666663	0.0	260.7916666666667	0.0	27.454166666666666	228.012			266.434
2020-07-27	214.131	0.8	0.5	2.5	1.0		0.5	216.9333333333333	0.7999999999999999	256.596875	0.6000000000000001	27.33333333333333	213.663			252.721
2020-07-26	227.999	0.0	0.0	0.0	0.0		0.25	234.6916666666667	0.0	277.86041666666665	0.0	27.02916666666667	231.66			273.382
2020-07-25	221.796	0.5	0.0	2.2	0.0		0.0	233.23541666666665	0.0	273.690625	0.2	26.75	231.66			275.712
2020-07-24	234.267	0.0	0.0	0.0	0.0		0.75	245.8	0.2	291.54479166666664	0.2	26.5375	242.745			285.097
2020-07-23	242.191	0.0	0.0	0.0	0.0		0.0	259.5479166666667	0.0	310.859375	0.0	26.129166666666663	257.858			292.206
2020-07-22	255.074	0.0	0.0	0.0	0.0		0.0	252.38541666666663	0.0	287.53125	0.0	26.183333333333334	257.858			287.46
2020-07-21	253.45	0.0	0.0	0.0	0.0		0.0	260.96250000000003	0.0	304.5864583333333	1.4	26.066666666666663	257.858			306.6
2020-07-20	259.969	2.0	0.3	1.6	0.0		0.75	221.42916666666667	0.0	267.38437500000003	0.0	26.03333333333333	217.214			250.46
2020-07-19	266.551	0.0	0.0	0.0	0.0		4.25	247.4020833333333	0.2	283.48854166666666	0.2	25.9	250.254			280.391
