lags,lags_label,params,mean_absolute_percentage_error,depth,iterations,l2_leaf_reg,learning_rate
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.021506131361515055,10.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.021624884613305743,10.0,500.0,1.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.02167653511096344,6.0,500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1000, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.022096461229708257,10.0,1000.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.022213193112424798,10.0,1500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.022578260160967034,10.0,500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1000, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.02271857952835637,10.0,1000.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.022760331657154832,10.0,1500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.11741121797696272,10.0,1500.0,5.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.11788755130260123,10.0,1500.0,1.0,0.001
