ano	mes	dia	chuva
2018	8	18	0.0
2018	8	17	0.0
2018	8	16	0.0
2018	8	15	0.0
2018	8	14	0.0
2018	8	13	0.0
2018	8	12	0.0
2018	8	11	0.0
2018	8	10	0.0
2018	8	9	0.0
2018	8	8	0.2
2018	8	7	0.0
2018	8	6	0.0
2018	8	5	0.5
2018	8	4	0.0
2018	8	3	7.3
2018	8	2	1.0
2018	8	1	0.0
2018	7	31	0.0
2018	7	30	0.0
2018	7	29	0.0
2018	7	28	0.0
2018	7	27	0.0
2018	7	26	0.0
2018	7	25	0.0
2018	7	24	0.0
2018	7	23	0.0
2018	7	22	0.0
2018	7	21	0.0
2018	7	20	0.0
2018	7	19	0.0
2018	7	18	0.0
2018	7	17	0.0
2018	7	16	0.0
2018	7	15	0.0
2018	7	14	0.0
2018	7	13	0.0
2018	7	12	0.0
2018	7	11	0.0
2018	7	10	0.0
2018	7	9	0.0
2018	7	8	0.0
2018	7	7	0.0
2018	7	6	0.0
2018	7	5	0.0
2018	7	4	0.0
2018	7	3	0.0
2018	7	2	0.0
2018	7	1	2.2
2018	6	30	5.2
2018	6	29	0.0
2018	6	28	0.0
2018	6	27	0.0
2018	6	26	0.0
2018	6	25	0.0
2018	6	24	0.0
2018	6	23	0.0
2018	6	22	0.0
2018	6	21	0.0
2018	6	20	0.0
2018	6	19	1.2
2018	6	18	0.0
2018	6	17	0.0
2018	6	16	0.0
2018	6	15	0.0
2018	6	14	0.0
2018	6	13	0.0
2018	6	12	0.0
2018	6	11	0.0
2018	6	10	0.0
2018	6	9	0.0
2018	6	8	0.0
2018	6	7	0.0
2018	6	6	0.0
2018	6	5	0.0
2018	6	4	0.0
2018	6	3	0.0
2018	6	2	0.0
2018	6	1	0.0
2018	5	31	0.0
2018	5	30	0.0
2018	5	29	0.0
2018	5	28	0.0
2018	5	27	7.5
2018	5	26	34.5
2018	5	25	2.3
2018	5	24	0.0
2018	5	23	0.0
2018	5	22	0.0
2018	5	21	0.0
2018	5	20	3.3
2018	5	19	0.0
2018	5	18	0.0
2018	5	17	0.0
2018	5	16	2.4
2018	5	15	0.0
2018	5	14	0.0
2018	5	13	0.0
2018	5	12	0.0
2018	5	11	0.0
2018	5	10	3.9
2018	5	9	0.8
2018	5	8	0.0
2018	5	7	1.5
2018	5	6	0.0
2018	5	5	0.0
2018	5	4	0.0
2018	5	3	0.0
2018	5	2	0.0
2018	5	1	0.0
2018	4	30	0.0
2018	4	29	0.0
2018	4	28	0.0
2018	4	27	0.0
2018	4	26	0.0
2018	4	25	0.3
2018	4	24	0.0
2018	4	23	0.0
2018	4	22	0.0
2018	4	21	0.0
2018	4	20	0.0
2018	4	19	0.5
2018	4	18	1.5
2018	4	17	0.0
2018	4	16	0.0
2018	4	15	0.0
2018	4	14	0.8
2018	4	13	0.0
2018	4	12	0.0
2018	4	11	0.0
2018	4	10	0.0
2018	4	9	22.9
2018	4	8	0.0
2018	4	7	0.6
2018	4	6	0.6
2018	4	5	86.5
2018	4	4	0.0
2018	4	3	0.0
2018	4	2	0.0
2018	4	1	0.0
2018	3	31	0.0
2018	3	30	0.0
2018	3	29	0.0
2018	3	28	0.0
2018	3	27	0.0
2018	3	26	0.0
2018	3	25	0.0
2018	3	24	2.8
2018	3	23	5.9
2018	3	22	28.0
2018	3	21	0.0
2018	3	20	0.0
2018	3	19	0.0
2018	3	18	0.0
2018	3	17	0.0
2018	3	16	0.0
2018	3	15	0.0
2018	3	14	0.0
2018	3	13	0.0
2018	3	12	33.0
2018	3	11	30.0
2018	3	10	2.5
2018	3	9	27.0
2018	3	8	28.0
2018	3	7	1.0
2018	3	6	3.9
2018	3	5	0.0
2018	3	4	6.5
2018	3	3	0.0
2018	3	2	0.0
2018	3	1	0.0
2018	2	28	0.0
2018	2	27	0.0
2018	2	26	0.0
2018	2	25	14.3
2018	2	24	8.0
2018	2	23	0.5
2018	2	22	1.3
2018	2	21	0.0
2018	2	20	0.0
2018	2	19	0.0
2018	2	18	0.0
2018	2	17	0.0
2018	2	16	0.0
2018	2	15	0.0
2018	2	14	0.0
2018	2	13	0.0
2018	2	12	0.0
2018	2	11	0.0
2018	2	10	4.6
2018	2	9	0.0
2018	2	8	1.7
2018	2	7	22.0
2018	2	6	68.4
2018	2	5	65.0
2018	2	4	5.3
2018	2	3	5.0
2018	2	2	15.8
2018	2	1	57.1
2018	1	31	
2018	1	30	
2018	1	29	
2018	1	28	
2018	1	27	
2018	1	26	
2018	1	25	
2018	1	24	
2018	1	23	
2018	1	22	
2018	1	21	
2018	1	20	
2018	1	19	
2018	1	18	
2018	1	17	
2018	1	16	
2018	1	15	
2018	1	14	
2018	1	13	
2018	1	12	
2018	1	11	
2018	1	10	
2018	1	9	
2018	1	8	
2018	1	7	
2018	1	6	
2018	1	5	
2018	1	4	
2018	1	3	
2018	1	2	
2018	1	1	0.6
2017	12	31	0.0
2017	12	30	0.0
2017	12	29	0.0
2017	12	28	0.0
2017	12	27	0.0
2017	12	26	0.0
2017	12	25	0.0
2017	12	24	0.0
2017	12	23	0.5
2017	12	22	0.5
2017	12	21	0.0
2017	12	20	2.5
2017	12	19	0.0
2017	12	18	0.5
2017	12	17	3.6
2017	12	16	0.0
2017	12	15	0.9
2017	12	14	3.6
2017	12	13	1.5
2017	12	12	8.1
2017	12	11	43.4
2017	12	10	0.8
2017	12	9	26.0
2017	12	8	0.0
2017	12	7	0.0
2017	12	6	47.1
2017	12	5	3.8
2017	12	4	5.4
2017	12	3	14.5
2017	12	2	45.0
2017	12	1	28.0
2017	11	30	0.0
2017	11	29	50.0
2017	11	28	0.0
2017	11	27	0.0
2017	11	26	0.0
2017	11	25	0.0
2017	11	24	5.9
2017	11	23	6.5
2017	11	22	0.0
2017	11	21	5.6
2017	11	20	11.5
2017	11	19	0.0
2017	11	18	0.0
2017	11	17	0.0
2017	11	16	0.0
2017	11	15	0.0
2017	11	14	0.0
2017	11	13	0.0
2017	11	12	10.9
2017	11	11	2.9
2017	11	10	0.6
2017	11	9	0.0
2017	11	8	0.0
2017	11	7	0.0
2017	11	6	2.5
2017	11	5	0.8
2017	11	4	0.0
2017	11	3	0.0
2017	11	2	13.0
2017	11	1	16.8
2017	10	31	0.3
2017	10	30	3.8
2017	10	29	0.0
2017	10	28	0.0
2017	10	27	0.0
2017	10	26	0.0
2017	10	25	0.0
2017	10	24	0.0
2017	10	23	0.0
2017	10	22	0.0
2017	10	21	0.0
2017	10	20	0.0
2017	10	19	0.0
2017	10	18	0.0
2017	10	17	2.2
2017	10	16	0.0
2017	10	15	0.0
2017	10	14	0.0
2017	10	13	0.0
2017	10	12	0.0
2017	10	11	0.0
2017	10	10	0.0
2017	10	9	0.0
2017	10	8	0.0
2017	10	7	0.0
2017	10	6	0.0
2017	10	5	6.8
2017	10	4	0.7
2017	10	3	0.0
2017	10	2	0.8
2017	10	1	14.6
2017	9	30	0.0
2017	9	29	0.0
2017	9	28	0.0
2017	9	27	0.0
2017	9	26	0.0
2017	9	25	0.0
2017	9	24	0.0
2017	9	23	0.0
2017	9	22	0.0
2017	9	21	0.4
2017	9	20	0.6
2017	9	19	0.0
2017	9	18	0.7
2017	9	17	0.0
2017	9	16	0.0
2017	9	15	0.0
2017	9	14	0.0
2017	9	13	0.0
2017	9	12	0.0
2017	9	11	0.0
2017	9	10	1.4
2017	9	9	0.0
2017	9	8	0.0
2017	9	7	0.0
2017	9	6	0.0
2017	9	5	0.0
2017	9	4	0.4
2017	9	3	0.0
2017	9	2	0.0
2017	9	1	0.0
2017	8	31	0.0
2017	8	30	0.0
2017	8	29	0.0
2017	8	28	0.0
2017	8	27	0.0
2017	8	26	0.0
2017	8	25	0.0
2017	8	24	0.0
2017	8	23	0.0
2017	8	22	0.0
2017	8	21	0.0
2017	8	20	0.0
2017	8	19	0.0
2017	8	18	0.0
2017	8	17	0.0
2017	8	16	0.0
2017	8	15	0.0
2017	8	14	0.0
2017	8	13	0.0
2017	8	12	0.0
2017	8	11	0.0
2017	8	10	0.0
2017	8	9	0.0
2017	8	8	0.0
2017	8	7	0.0
2017	8	6	0.0
2017	8	5	0.0
2017	8	4	0.0
2017	8	3	0.0
2017	8	2	0.0
2017	8	1	0.0
2017	7	31	2.7
2017	7	30	1.0
2017	7	29	4.0
2017	7	28	0.0
2017	7	27	0.0
2017	7	26	0.0
2017	7	25	0.0
2017	7	24	0.0
2017	7	23	0.0
2017	7	22	0.0
2017	7	21	0.0
2017	7	20	0.0
2017	7	19	0.0
2017	7	18	0.0
2017	7	17	0.0
2017	7	16	0.8
2017	7	15	0.6
2017	7	14	0.0
2017	7	13	0.0
2017	7	12	0.0
2017	7	11	0.0
2017	7	10	0.0
2017	7	9	1.1
2017	7	8	0.0
2017	7	7	0.0
2017	7	6	0.0
2017	7	5	0.0
2017	7	4	0.0
2017	7	3	0.0
2017	7	2	0.0
2017	7	1	0.0
2017	6	30	0.0
2017	6	29	0.0
2017	6	28	9.4
2017	6	27	0.3
2017	6	26	0.0
2017	6	25	0.0
2017	6	24	0.0
2017	6	23	0.0
2017	6	22	0.0
2017	6	21	0.0
2017	6	20	0.0
2017	6	19	0.0
2017	6	18	0.0
2017	6	17	0.0
2017	6	16	0.0
2017	6	15	0.0
2017	6	14	0.0
2017	6	13	0.0
2017	6	12	0.0
2017	6	11	0.9
2017	6	10	0.0
2017	6	9	0.0
2017	6	8	0.0
2017	6	7	0.0
2017	6	6	0.0
