ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2016-10-09	64.241	0.0	33.11666666666667										30.112
2016-10-08	70.064	0.0	36.14270833333333										30.735
2016-10-07	71.832	0.0	33.047916666666666										32.98
2016-10-06	52.384	8.6	26.85625										28.291
2016-10-05	52.937	1.8	22.246875										27.7
2016-10-04	43.188	8.0	23.10833333333333										29.192
2016-10-03	43.718	0.8	24.485416666666666										33.309
2016-10-02	51.283	0.0	16.320833333333333										33.974
2016-10-01	60.801	0.0	24.269791666666663										33.974
2016-09-30	59.663	0.0	26.09583333333333										33.974
2016-09-29	76.593	0.0	32.0875										33.974
2016-09-28	73.016	0.0	34.43541666666667										35.671
2016-09-27	75.994	0.0	29.025										28.291
2016-09-26	56.278	35.0	23.79895833333333										24.863
2016-09-25	48.009	6.4	13.620833333333332										17.924
2016-09-24	37.965	2.0	21.815625										17.482
2016-09-23	35.41	0.0	23.73229166666667										17.482
2016-09-22	40.558	0.0	14.027083333333332										17.482
2016-09-21	38.481	0.0	14.330208333333331										17.482
2016-09-20	36.427	14.0	15.5										17.482
2016-09-19	34.903	0.8	14.897916666666667										17.482
2016-09-18	34.398	0.0	15.130208333333334										17.482
2016-09-17	35.41	0.0	17.197916666666668										17.482
2016-09-16	34.398	0.0	16.311458333333334										17.924
2016-09-15	37.451	0.0	16.613541666666666										18.372
2016-09-14	38.481	0.0	16.712500000000002										18.372
2016-09-13	41.606	0.0	18.06770833333333										18.372
2016-09-12	42.132	0.0	18.159375										18.372
2016-09-11	42.132	0.0	17.183333333333334										18.372
2016-09-10	37.451	0.0	18.188541666666666										18.372
2016-09-09	38.998	0.2	18.572916666666668										19.058
2016-09-08	41.606	0.0	19.65625										19.29
2016-09-07	43.188	0.0	20.011458333333334										20.721
2016-09-06	43.188	0.0	21.08125										21.461
2016-09-05	39.517	0.0	21.2375										21.213
2016-09-04	39.517	0.0	18.046875										21.213
2016-09-03	35.917	0.0	17.668478260869566										21.213
2016-09-02	39.517	0.0	17.603125000000002										21.213
2016-09-01	40.558	0.6000000000000001	17.084375										21.213
2016-08-31	40.558	0.0	16.967708333333334										21.213
2016-08-30	42.659	0.0	18.19270833333333										21.213
2016-08-29	45.317	0.0	18.572916666666668										21.461
2016-08-28	46.928	0.0	19.160416666666663										21.712
2016-08-27	43.718	0.0	18.579166666666666										21.712
2016-08-26	45.853	0.0	18.402083333333334										21.712
2016-08-25	48.551	0.0	19.07708333333333										21.712
2016-08-24	48.551	0.0	19.196875										21.712
2016-08-23	48.551	0.0	18.99895833333333										21.712
2016-08-22	50.186	0.0	20.415625										22.218
2016-08-21	51.833	0.0	21.73125										22.218
2016-08-20	54.046	0.0	22.50625										23.253
2016-08-19	53.491	0.0	23.415625										24.049
2016-08-18	51.833	0.0	22.910416666666663										23.517
2016-08-17	50.734	0.0	19.777083333333334										22.474
2016-08-16	49.64	2.4	20.035416666666663										22.218
2016-08-15	49.095	0.0	20.51875										22.218
2016-08-14	50.734	0.0	19.932291666666664										22.218
2016-08-13	50.186	0.0	20.65										22.218
2016-08-12	50.734	0.0	20.475										22.218
2016-08-11	50.186	2.8	20.954166666666666										22.218
2016-08-10	49.64	0.0	22.734375										22.218
2016-08-09	51.283	3.0	22.592391304347824										22.218
2016-08-08	49.64	0.0	24.266666666666666										23.253
2016-08-07	54.046	0.0	24.197916666666668										24.049
2016-08-06	52.384	0.0	24.732291666666665										25.414
2016-08-05	51.833	0.0	25.44375										25.414
2016-08-04	52.384	0.0	25.29375										25.414
2016-08-03	53.491	0.0	25.3										25.414
2016-08-02	52.384	0.0	25.2375										26.828
2016-08-01	52.937	0.0	25.45625										29.497
2016-07-31	53.491	0.0	26.275										30.112
2016-07-30	54.602	0.0	26.90625										30.112
2016-07-29	56.278	0.0	28.09583333333333										31.366
2016-07-28	55.718	0.0	27.76875										31.366
2016-07-27	55.718	0.0	28.419791666666665										31.049
2016-07-26	55.718	0.0	28.597916666666663										30.112
2016-07-25	56.278	0.0	28.87291666666667										30.112
2016-07-24	56.839	0.0	27.495833333333334										30.112
2016-07-23	56.839	0.0	26.7875										30.112
2016-07-22	55.159	0.0	26.225										30.112
2016-07-21	57.402	0.0	26.4875										30.112
