Data;Vazões
24/10/17;2,955
25/10/17;2,645
26/10/17;3,018
27/10/17;4,252
28/10/17;4,862
29/10/17;3,463
30/10/17;2,768
31/10/17;3,271
01/11/17;3,271
02/11/17;3,081
03/11/17;2,768
04/11/17;2,707
05/11/17;2,707
06/11/17;3,788
07/11/17;4,185
08/11/17;3,399
09/11/17;2,955
10/11/17;2,707
11/11/17;3,788
12/11/17;3,92
13/11/17;2,955
14/11/17;2,584
15/11/17;2,463
16/11/17;2,342
17/11/17;2,707
18/11/17;2,645
19/11/17;3,854
20/11/17;6,776
21/11/17;7,662
22/11/17;14,351
23/11/17;11,733
24/11/17;8,873
25/11/17;4,521
26/11/17;3,854
27/11/17;3,723
28/11/17;4,386
29/11/17;5,557
30/11/17;4,185
01/12/17;3,723
02/12/17;3,592
03/12/17;4,999
04/12/17;3,854
05/12/17;3,592
06/12/17;3,528
07/12/17;3,463
08/12/17;3,592
09/12/17;4,725
10/12/17;3,528
11/12/17;3,144
12/12/17;5,138
13/12/17;5,069
14/12/17;3,657
15/12/17;3,207
16/12/17;3,018
17/12/17;2,893
18/12/17;2,83
19/12/17;2,893
20/12/17;2,768
21/12/17;2,707
22/12/17;4,252
23/12/17;3,657
24/12/17;3,144
25/12/17;3,081
26/12/17;8,72
27/12/17;5,627
28/12/17;5,769
29/12/17;4,657
30/12/17;5,138
31/12/17;4,793
